retentionslot_timestamp,milliseconds,sample_index,description,breathphase
14:26.5,866550,41594400,,inhale
14:34.5,874531,41977488,,exhale
14:42.6,882601,42364848,,inhale
14:50.6,890551,42746448,,exhale
14:58.6,898621,43133808,,inhale
15:6.6,906601,43516848,,exhale
15:14.7,914671,43904208,,inhale
15:22.6,922621,44285808,,exhale
15:30.7,930691,44673168,,inhale
15:38.7,938671,45056208,,exhale
15:46.7,946711,45442128,,inhale
15:54.7,954691,45825168,,exhale
16:2.8,962761,46212528,,inhale
16:10.7,970741,46595568,,exhale
16:18.8,978781,46981488,,inhale
16:26.8,986761,47364528,,exhale
16:34.8,994831,47751888,,inhale
16:42.8,1002781,48133488,,exhale
16:50.9,1010881,48522288,,inhale
16:58.8,1018831,48903888,,exhale
17:6.9,1026900,49291200,,inhale
17:14.9,1034881,49674288,,exhale
17:22.9,1042921,50060208,,inhale
17:30.9,1050901,50443248,,exhale
17:38.9,1058941,50829168,,inhale
17:46.9,1066921,51212208,,exhale
17:55.0,1074991,51599568,,inhale
18:2.9,1082941,51981168,,exhale
18:11.0,1091041,52369968,,inhale
18:19.0,1098991,52751568,,exhale
18:27.0,1107031,53137488,,inhale
18:35.0,1115011,53520528,,exhale
18:36.0,1116011,53568528,,inhale
18:44.0,1123961,53950128,,exhale
18:52.0,1132030,54337440,,inhale
19:0.0,1140011,54720528,,exhale
19:8.1,1148081,55107888,,inhale
19:16.0,1156031,55489488,,exhale
19:24.1,1164101,55876848,,inhale
19:32.1,1172081,56259888,,exhale
19:40.2,1180151,56647248,,inhale
19:48.1,1188101,57028848,,exhale
19:56.2,1196171,57416208,,inhale
20:4.2,1204151,57799248,,exhale
20:12.2,1212191,58185168,,inhale
20:20.2,1220171,58568208,,exhale
20:28.2,1228241,58955568,,inhale
20:36.2,1236221,59338608,,exhale
20:44.3,1244261,59724528,,inhale
20:52.2,1252241,60107568,,exhale
21:0.3,1260311,60494928,,inhale
21:8.3,1268261,60876528,,exhale
21:16.4,1276361,61265328,,inhale
21:24.3,1284311,61646928,,exhale
21:32.4,1292380,62034240,,inhale
21:40.4,1300361,62417328,,exhale
21:48.4,1308401,62803248,,inhale
21:56.4,1316381,63186288,,exhale
22:4.4,1324421,63572208,,inhale
22:12.4,1332401,63955248,,exhale
22:20.5,1340471,64342608,,inhale
22:28.4,1348421,64724208,,exhale
22:36.5,1356521,65113008,,inhale
22:44.5,1364471,65494608,,exhale
22:52.5,1372511,65880528,,inhale
23:0.5,1380491,66263568,,exhale
23:1.5,1381491,66311568,,inhale
23:9.4,1389441,66693168,,exhale
23:17.5,1397510,67080480,,inhale
23:25.5,1405491,67463568,,exhale
23:33.6,1413561,67850928,,inhale
23:41.5,1421511,68232528,,exhale
23:49.6,1429581,68619888,,inhale
23:57.6,1437561,69002928,,exhale
24:5.6,1445631,69390288,,inhale
24:13.6,1453581,69771888,,exhale
24:21.7,1461651,70159248,,inhale
24:29.6,1469631,70542288,,exhale
24:37.7,1477671,70928208,,inhale
24:45.7,1485651,71311248,,exhale
24:53.7,1493721,71698608,,inhale
25:1.7,1501701,72081648,,exhale
25:9.7,1509741,72467568,,inhale
25:17.7,1517721,72850608,,exhale
25:25.8,1525791,73237968,,inhale
25:33.7,1533741,73619568,,exhale
25:41.8,1541841,74008368,,inhale
25:49.8,1549791,74389968,,exhale
25:57.9,1557860,74777280,,inhale
26:5.8,1565841,75160368,,exhale
26:13.9,1573881,75546288,,inhale
26:21.9,1581861,75929328,,exhale
26:29.9,1589901,76315248,,inhale
26:37.9,1597881,76698288,,exhale
26:46.0,1605951,77085648,,inhale
26:53.9,1613901,77467248,,exhale
27:2.0,1622001,77856048,,inhale
27:10.0,1629951,78237648,,exhale
27:18.0,1637991,78623568,,inhale
27:26.0,1645971,79006608,,exhale
